,DGP1,DGP2
v1,0.506666771857482,0.48658706225294546
v2,0.4937375683827961,0.47974975848856005
vC,0.0,0.0
main_effect_cross_predictability,0.0,-0.06469190667376996
main_effect_cov,0.0,-0.1793981504557646
pure_interactions,4.713403576234187e-09,0.2639111740067007
