,v1,v2,vC,main_effect_cross_predictability,main_effect_cov,pure_interactions
longitude,0.30572673226956826,0.426105371820485,0.0,-0.408193186622459,0.23133145239851952,0.108828521355748
latitude,0.26471427343211096,0.4797746691812034,0.0,-0.2907880410839937,0.10012113460001658,0.10997685509252456
ocean,0.24667754186900073,0.6467391574195284,0.0,-0.16762431212886578,-0.07778699734308407,0.015793501405282493
